player,allstar_games,player_clean
Kareem Abdul-Jabbar*[a],19,Kareem Abdul-Jabbar
Kobe Bryant^,17,Kobe Bryant
Tim Duncan^,15,Tim Duncan
Kevin Garnett^,15,Kevin Garnett
Shaquille O'Neal,15,Shaquille O'Neal
Michael Jordan*,14,Michael Jordan
Karl Malone*,14,Karl Malone
Jerry West*,14,Jerry West
Wilt Chamberlain*,13,Wilt Chamberlain
Bob Cousy*,13,Bob Cousy
John Havlicek*,13,John Havlicek
Larry Bird*,12,Larry Bird
Elvin Hayes*,12,Elvin Hayes
Magic Johnson*,12,Magic Johnson
Moses Malone*,12,Moses Malone
Dirk Nowitzki^,12,Dirk Nowitzki
Hakeem Olajuwon*[b],12,Hakeem Olajuwon
Oscar Robertson*,12,Oscar Robertson
Bill Russell*,12,Bill Russell
Dolph Schayes*,12,Dolph Schayes
Isiah Thomas*,12,Isiah Thomas
Charles Barkley*,11,Charles Barkley
Elgin Baylor*,11,Elgin Baylor
Julius Erving*,11,Julius Erving
Patrick Ewing*,11,Patrick Ewing
Allen Iverson,11,Allen Iverson
LeBron James^,11,LeBron James
Bob Pettit*,11,Bob Pettit
Dwyane Wade^,11,Dwyane Wade
Ray Allen^,10,Ray Allen
Paul Arizin*,10,Paul Arizin
Chris Bosh^,10,Chris Bosh
Clyde Drexler*,10,Clyde Drexler
Hal Greer*,10,Hal Greer
Jason Kidd,10,Jason Kidd
Paul Pierce^,10,Paul Pierce
David Robinson*,10,David Robinson
John Stockton*,10,John Stockton
George Gervin*,9,George Gervin
Robert Parish*,9,Robert Parish
Gary Payton*,9,Gary Payton
Lenny Wilkens*,9,Lenny Wilkens
Dominique Wilkins*,9,Dominique Wilkins
Carmelo Anthony^,8,Carmelo Anthony
Rick Barry*,8,Rick Barry
Vince Carter^,8,Vince Carter
Dave DeBusschere*,8,Dave DeBusschere
Alex English*,8,Alex English
Larry Foust,8,Larry Foust
Dwight Howard^,8,Dwight Howard
Bob Lanier*,8,Bob Lanier
Dikembe Mutombo,8,Dikembe Mutombo
Steve Nash^,8,Steve Nash
Chris Paul^,8,Chris Paul
Bill Sharman*,8,Bill Sharman
Yao Ming,8,Yao Ming
Dave Bing*,7,Dave Bing
Dave Cowens*,7,Dave Cowens
Walt Frazier*,7,Walt Frazier
Harry Gallatin*,7,Harry Gallatin
Grant Hill,7,Grant Hill
Joe Johnson^,7,Joe Johnson
Jerry Lucas*,7,Jerry Lucas
Ed Macauley*,7,Ed Macauley
Slater Martin*,7,Slater Martin
Tracy McGrady,7,Tracy McGrady
Dick McGuire*,7,Dick McGuire
Kevin McHale*,7,Kevin McHale
Alonzo Mourning*,7,Alonzo Mourning
Scottie Pippen*,7,Scottie Pippen
Willis Reed*,7,Willis Reed
Jack Sikma,7,Jack Sikma
Nate Thurmond*,7,Nate Thurmond
Chet Walker*,7,Chet Walker
Jo Jo White,7,Jo Jo White
James Worthy*,7,James Worthy
Nate Archibald*,6,Nate Archibald
Larry Costello,6,Larry Costello
Adrian Dantley*,6,Adrian Dantley
Walter Davis,6,Walter Davis
Joe Dumars*,6,Joe Dumars
Kevin Durant^,6,Kevin Durant
Artis Gilmore*,6,Artis Gilmore
Richie Guerin*,6,Richie Guerin
Tom Heinsohn*,6,Tom Heinsohn
Bailey Howell*,6,Bailey Howell
Lou Hudson,6,Lou Hudson
Neil Johnston*,6,Neil Johnston
Shawn Kemp,6,Shawn Kemp
Vern Mikkelsen*,6,Vern Mikkelsen
Jermaine O'Neal^,6,Jermaine O'Neal
Tony Parker^,6,Tony Parker
Mitch Richmond*,6,Mitch Richmond
Amar'e Stoudemire^,6,Amar'e Stoudemire
Jack Twyman*,6,Jack Twyman
George Yardley*,6,George Yardley
Chauncey Billups,5,Chauncey Billups
Carl Braun,5,Carl Braun
Brad Daugherty,5,Brad Daugherty
Wayne Embry,5,Wayne Embry
Pau Gasol^,5,Pau Gasol
Tom Gola*,5,Tom Gola
Gail Goodrich*,5,Gail Goodrich
Blake Griffin^,5,Blake Griffin
Cliff Hagan*,5,Cliff Hagan
Tim Hardaway,5,Tim Hardaway
Dennis Johnson*,5,Dennis Johnson
Gus Johnson*,5,Gus Johnson
Marques Johnson,5,Marques Johnson
Sam Jones*,5,Sam Jones
Rudy LaRusso,5,Rudy LaRusso
Pete Maravich*,5,Pete Maravich
Bob McAdoo*,5,Bob McAdoo
Reggie Miller*,5,Reggie Miller
Sidney Moncrief,5,Sidney Moncrief
Chris Mullin*,5,Chris Mullin
Don Ohl,5,Don Ohl
Andy Phillip*,5,Andy Phillip
Gene Shue,5,Gene Shue
Rudy Tomjanovich,5,Rudy Tomjanovich
Wes Unseld*,5,Wes Unseld
Bobby Wanzer*,5,Bobby Wanzer
Chris Webber,5,Chris Webber
Paul Westphal,5,Paul Westphal
LaMarcus Aldridge^,4,LaMarcus Aldridge
Vin Baker,4,Vin Baker
Walt Bellamy*,4,Walt Bellamy
Otis Birdsong,4,Otis Birdsong
Rolando Blackman,4,Rolando Blackman
Tom Chambers,4,Tom Chambers
Maurice Cheeks,4,Maurice Cheeks
Doug Collins,4,Doug Collins
Billy Cunningham*,4,Billy Cunningham
Bob Dandridge,4,Bob Dandridge
Bob Davies*,4,Bob Davies
Dick Garmaker,4,Dick Garmaker
Johnny Green,4,Johnny Green
Penny Hardaway,4,Penny Hardaway
Connie Hawkins*,4,Connie Hawkins
Spencer Haywood,4,Spencer Haywood
Mel Hutchins,4,Mel Hutchins
Bobby Jones,4,Bobby Jones
Bernard King*,4,Bernard King
Bill Laimbeer,4,Bill Laimbeer
Maurice Lucas,4,Maurice Lucas
Shawn Marion^,4,Shawn Marion
George Mikan*,4,George Mikan
Earl Monroe*,4,Earl Monroe
Willie Naulls,4,Willie Naulls
Jim Pollard*,4,Jim Pollard
Mark Price,4,Mark Price
Micheal Ray Richardson,4,Micheal Ray Richardson
Arnie Risen*,4,Arnie Risen
Alvin Robertson,4,Alvin Robertson
Guy Rodgers*,4,Guy Rodgers
Rajon Rondo^,4,Rajon Rondo
Ralph Sampson*,4,Ralph Sampson
Latrell Sprewell,4,Latrell Sprewell
David Thompson*,4,David Thompson
Ben Wallace,4,Ben Wallace
Rasheed Wallace,4,Rasheed Wallace
Russell Westbrook^,4,Russell Westbrook
Sidney Wicks,4,Sidney Wicks
Mark Aguirre,3,Mark Aguirre
Gilbert Arenas,3,Gilbert Arenas
Bill Bridges,3,Bill Bridges
Phil Chenier,3,Phil Chenier
Terry Dischinger,3,Terry Dischinger
Steve Francis,3,Steve Francis
Richard Hamilton,3,Richard Hamilton
James Harden^,3,James Harden
Al Horford^,3,Al Horford
Kyrie Irving^,3,Kyrie Irving
Kevin Johnson,3,Kevin Johnson
Eddie Jones,3,Eddie Jones
Bob Kauffman,3,Bob Kauffman
Johnny Kerr,3,Johnny Kerr
Bob Love,3,Bob Love
Kevin Love^,3,Kevin Love
Clyde Lovellette*,3,Clyde Lovellette
Dan Majerle,3,Dan Majerle
George McGinnis,3,George McGinnis
Jeff Mullins,3,Jeff Mullins
Larry Nance,3,Larry Nance
Glen Rice,3,Glen Rice
Derrick Rose^,3,Derrick Rose
Dan Roundfield,3,Dan Roundfield
Brandon Roy,3,Brandon Roy
Detlef Schrempf,3,Detlef Schrempf
Charlie Scott,3,Charlie Scott
Paul Seymour,3,Paul Seymour
Peja Stojakovi?,3,Peja Stojakovi?
Maurice Stokes*,3,Maurice Stokes
Dick Van Arsdale,3,Dick Van Arsdale
Tom Van Arsdale,3,Tom Van Arsdale
Norm Van Lier,3,Norm Van Lier
Antoine Walker,3,Antoine Walker
Jamaal Wilkes*,3,Jamaal Wilkes
Buck Williams,3,Buck Williams
Deron Williams^,3,Deron Williams
Leo Barnhorst,2,Leo Barnhorst
Zelmo Beaty,2,Zelmo Beaty
Carlos Boozer^,2,Carlos Boozer
Elton Brand^,2,Elton Brand
Terrell Brandon,2,Terrell Brandon
Frank Brian,2,Frank Brian
Caron Butler^,2,Caron Butler
Joe Caldwell,2,Joe Caldwell
Archie Clark,2,Archie Clark
Terry Cummings,2,Terry Cummings
Stephen Curry^,2,Stephen Curry
Anthony Davis^,2,Anthony Davis
Baron Davis,2,Baron Davis
Luol Deng^,2,Luol Deng
John Drew,2,John Drew
Kevin Duckworth,2,Kevin Duckworth
Walter Dukes,2,Walter Dukes
Dike Eddleman,2,Dike Eddleman
Sean Elliott,2,Sean Elliott
Michael Finley,2,Michael Finley
Joe Fulks*,2,Joe Fulks
Marc Gasol^,2,Marc Gasol
Jack George,2,Jack George
Paul George^,2,Paul George
